Area name,Mother tongue name,Persons
HIMACHAL PRADESH,AFGHANI/KABULI/PASHTO,176
HIMACHAL PRADESH,ANAL,17
HIMACHAL PRADESH,ANGAMI,12
HIMACHAL PRADESH,AO,28
HIMACHAL PRADESH,ARABIC/ARBI,307
HIMACHAL PRADESH,BALTI,21
HIMACHAL PRADESH,BHILI/BHILODI,106
HIMACHAL PRADESH,BHOTIA,2012
HIMACHAL PRADESH,BISHNUPURIYA,15
HIMACHAL PRADESH,CHAKHESANG,1
HIMACHAL PRADESH,CHANG,12
HIMACHAL PRADESH,COORGI/KODAGU,53
HIMACHAL PRADESH,ENGLISH,1043
HIMACHAL PRADESH,GANGTE,2
HIMACHAL PRADESH,GARO,21
HIMACHAL PRADESH,GONDI,9
HIMACHAL PRADESH,HALABI,1
HIMACHAL PRADESH,HALAM,380
HIMACHAL PRADESH,HO,167
HIMACHAL PRADESH,KABUI,5
HIMACHAL PRADESH,KHANDESHI,3498
HIMACHAL PRADESH,KHARIA,43
HIMACHAL PRADESH,KHASI,15
HIMACHAL PRADESH,KHEZHA,5
HIMACHAL PRADESH,KHIEMNUNGAN,1
HIMACHAL PRADESH,KHOND/KONDH,1
HIMACHAL PRADESH,KINNAURI,82712
HIMACHAL PRADESH,KISAN,32
HIMACHAL PRADESH,KOCH,1
HIMACHAL PRADESH,KODA/KORA,1
HIMACHAL PRADESH,KOM,2
HIMACHAL PRADESH,KONDA,19
HIMACHAL PRADESH,KONYAK,3
HIMACHAL PRADESH,KORKU,115
HIMACHAL PRADESH,KORWA,23
HIMACHAL PRADESH,KUKI,73
HIMACHAL PRADESH,KURUKH/ORAON,2277
HIMACHAL PRADESH,LADAKHI,1196
HIMACHAL PRADESH,LAHAULI,11073
HIMACHAL PRADESH,LAHNDA,109
HIMACHAL PRADESH,LAKHER,10
HIMACHAL PRADESH,LEPCHA,2
HIMACHAL PRADESH,LIMBU,7
HIMACHAL PRADESH,LOTHA,16
HIMACHAL PRADESH,LUSHAI/MIZO,197
HIMACHAL PRADESH,MAO,15
HIMACHAL PRADESH,MIRI/MISHING,3
HIMACHAL PRADESH,MOGH,8
HIMACHAL PRADESH,MONPA,94
HIMACHAL PRADESH,MUNDA,505
HIMACHAL PRADESH,MUNDARI,684
HIMACHAL PRADESH,NISSI/DAFLA,16
HIMACHAL PRADESH,PAITE,18
HIMACHAL PRADESH,PARJI,3
HIMACHAL PRADESH,RAI,8
HIMACHAL PRADESH,RENGMA,2
HIMACHAL PRADESH,SAVARA,1
HIMACHAL PRADESH,SEMA,4
HIMACHAL PRADESH,SHERPA,565
HIMACHAL PRADESH,SHINA,48
HIMACHAL PRADESH,TAMANG,584
HIMACHAL PRADESH,TANGKHUL,21
HIMACHAL PRADESH,THADO,3
HIMACHAL PRADESH,TIBETAN,21322
HIMACHAL PRADESH,TRIPURI,18
HIMACHAL PRADESH,TULU,22
HIMACHAL PRADESH,ZELIANG,1
HIMACHAL PRADESH,ZOU,4
